date,price
2004- 03- 05,"1,176.00"
2004- 03- 08,"1,173.45"
2004- 03- 09,"1,172.00"
2004- 03- 10,"1,173.50"
2004- 03- 11,"1,170.50"
2004- 03- 12,"1,180.50"
2004- 03- 15,"1,173.50"
2004- 03- 16,"1,171.50"
2004- 03- 17,"1,166.50"
2004- 03- 18,"1,156.50"
2004- 03- 19,"1,156.50"
2004- 03- 22,"1,158.75"
2004- 03- 23,"1,159.75"
2004- 03- 24,"1,154.50"
2004- 03- 25,"1,159.00"
2004- 03- 26,"1,157.65"
2004- 03- 29,"1,152.50"
2004- 03- 30,"1,153.50"
2004- 03- 31,"1,143.00"
2004- 04- 01,"1,141.15"
2004- 04- 02,"1,141.55"
2004- 04- 05,"1,143.00"
2004- 04- 06,"1,150.15"
2004- 04- 07,"1,140.00"
2004- 04- 08,"1,143.50"
2004- 04- 09,"1,143.95"
2004- 04- 12,"1,141.85"
2004- 04- 13,"1,143.50"
2004- 04- 14,"1,157.50"
2004- 04- 15,"1,153.50"
2004- 04- 16,"1,162.50"
2004- 04- 19,"1,155.50"
2004- 04- 20,"1,154.50"
2004- 04- 21,"1,155.50"
2004- 04- 22,"1,163.50"
2004- 04- 23,"1,158.50"
2004- 04- 26,"1,155.00"
2004- 04- 27,"1,152.50"
2004- 04- 28,"1,154.50"
2004- 04- 29,"1,170.50"
2004- 04- 30,"1,173.35"
2004- 05- 03,"1,172.00"
2004- 05- 04,"1,173.50"
2004- 05- 05,"1,164.00"
2004- 05- 06,"1,166.50"
2004- 05- 07,"1,171.50"
2004- 05- 10,"1,190.00"
2004- 05- 11,"1,187.50"
2004- 05- 12,"1,181.50"
2004- 05- 13,"1,185.50"
2004- 05- 14,"1,186.50"
2004- 05- 17,"1,182.50"
2004- 05- 18,"1,184.50"
2004- 05- 19,"1,177.50"
2004- 05- 20,"1,178.50"
2004- 05- 21,"1,175.50"
2004- 05- 24,"1,178.50"
2004- 05- 25,"1,179.50"
2004- 05- 26,"1,179.50"
2004- 05- 27,"1,169.50"
2004- 05- 28,"1,164.50"
2004- 05- 31,"1,160.05"
2004- 06- 01,"1,160.50"
2004- 06- 02,"1,164.50"
2004- 06- 03,"1,164.45"
2004- 06- 04,"1,163.50"
2004- 06- 07,"1,159.50"
2004- 06- 08,"1,158.50"
2004- 06- 09,"1,155.50"
2004- 06- 10,"1,159.50"
2004- 06- 11,"1,163.95"
2004- 06- 14,"1,163.50"
2004- 06- 15,"1,157.50"
2004- 06- 16,"1,157.50"
2004- 06- 17,"1,161.50"
2004- 06- 18,"1,157.00"
2004- 06- 21,"1,157.50"
2004- 06- 22,"1,157.50"
2004- 06- 23,"1,158.50"
2004- 06- 24,"1,152.50"
2004- 06- 25,"1,148.75"
2004- 06- 28,"1,152.50"
2004- 06- 29,"1,151.50"
2004- 06- 30,"1,154.50"
2004- 07- 01,"1,152.50"
2004- 07- 02,"1,152.00"
2004- 07- 05,"1,152.75"
2004- 07- 06,"1,155.50"
2004- 07- 07,"1,151.50"
2004- 07- 08,"1,150.50"
2004- 07- 09,"1,149.45"
2004- 07- 12,"1,147.45"
2004- 07- 13,"1,149.45"
2004- 07- 14,"1,152.45"
2004- 07- 15,"1,164.00"
2004- 07- 16,"1,164.45"
2004- 07- 19,"1,157.45"
2004- 07- 20,"1,160.45"
2004- 07- 21,"1,163.45"
2004- 07- 22,"1,162.45"
2004- 07- 23,"1,167.45"
2004- 07- 26,"1,161.50"
2004- 07- 27,"1,164.50"
2004- 07- 28,"1,167.50"
2004- 07- 29,"1,168.50"
2004- 07- 30,"1,166.50"
2004- 08- 02,"1,164.50"
2004- 08- 03,"1,165.10"
2004- 08- 04,"1,165.50"
2004- 08- 05,"1,163.50"
2004- 08- 06,"1,157.50"
2004- 08- 09,"1,156.50"
2004- 08- 10,"1,155.50"
2004- 08- 11,"1,155.50"
2004- 08- 12,"1,157.50"
2004- 08- 13,"1,156.00"
2004- 08- 16,"1,159.50"
2004- 08- 17,"1,163.25"
2004- 08- 18,"1,158.45"
2004- 08- 19,"1,156.45"
2004- 08- 20,"1,154.45"
2004- 08- 23,"1,153.45"
2004- 08- 24,"1,154.05"
2004- 08- 25,"1,156.05"
2004- 08- 26,"1,153.50"
2004- 08- 27,"1,151.50"
2004- 08- 30,"1,152.35"
2004- 08- 31,"1,151.85"
2004- 09- 01,"1,148.50"
2004- 09- 02,"1,150.50"
2004- 09- 03,"1,150.15"
2004- 09- 06,"1,152.85"
2004- 09- 07,"1,150.75"
2004- 09- 08,"1,148.50"
2004- 09- 09,"1,145.50"
2004- 09- 10,"1,145.90"
2004- 09- 13,"1,145.05"
2004- 09- 14,"1,144.50"
2004- 09- 15,"1,145.50"
2004- 09- 16,"1,145.80"
2004- 09- 17,"1,146.50"
2004- 09- 20,"1,146.30"
2004- 09- 21,"1,145.50"
2004- 09- 22,"1,148.80"
2004- 09- 23,"1,147.65"
2004- 09- 24,"1,148.50"
2004- 09- 27,"1,149.50"
2004- 09- 28,"1,156.00"
2004- 09- 29,"1,153.50"
2004- 09- 30,"1,151.50"
2004- 10- 01,"1,148.50"
2004- 10- 04,"1,149.50"
2004- 10- 05,"1,148.50"
2004- 10- 06,"1,152.50"
2004- 10- 07,"1,150.50"
2004- 10- 08,"1,148.50"
2004- 10- 11,"1,146.10"
2004- 10- 12,"1,146.50"
2004- 10- 13,"1,148.50"
2004- 10- 14,"1,144.50"
2004- 10- 15,"1,145.50"
2004- 10- 18,"1,141.50"
2004- 10- 19,"1,140.50"
2004- 10- 20,"1,141.50"
2004- 10- 21,"1,140.50"
2004- 10- 22,"1,138.50"
2004- 10- 25,"1,133.50"
2004- 10- 26,"1,131.50"
2004- 10- 27,"1,127.00"
2004- 10- 28,"1,125.00"
2004- 10- 29,"1,119.50"
2004- 11- 01,"1,120.50"
2004- 11- 02,"1,112.75"
2004- 11- 03,"1,113.50"
2004- 11- 04,"1,111.50"
2004- 11- 05,"1,108.50"
2004- 11- 08,"1,107.50"
2004- 11- 09,"1,102.50"
2004- 11- 10,"1,112.50"
2004- 11- 11,"1,111.50"
2004- 11- 12,"1,100.50"
2004- 11- 15,"1,096.00"
2004- 11- 16,"1,091.50"
2004- 11- 17,"1,080.50"
2004- 11- 18,"1,069.50"
2004- 11- 19,"1,068.50"
2004- 11- 22,"1,063.50"
2004- 11- 23,"1,064.50"
2004- 11- 24,"1,065.50"
2004- 11- 25,"1,057.20"
2004- 11- 26,"1,047.50"
2004- 11- 29,"1,047.10"
2004- 11- 30,"1,048.50"
2004- 12- 01,"1,045.50"
2004- 12- 02,"1,041.50"
2004- 12- 03,"1,043.00"
2004- 12- 06,"1,037.50"
2004- 12- 07,"1,041.50"
2004- 12- 08,"1,058.50"
2004- 12- 09,"1,055.50"
2004- 12- 10,"1,067.50"
2004- 12- 13,"1,058.50"
2004- 12- 14,"1,058.50"
2004- 12- 15,"1,061.50"
2004- 12- 16,"1,057.50"
2004- 12- 17,"1,060.50"
2004- 12- 20,"1,056.50"
2004- 12- 21,"1,055.50"
2004- 12- 22,"1,053.50"
2004- 12- 23,"1,050.50"
2004- 12- 24,"1,047.95"
2004- 12- 27,"1,046.50"
2004- 12- 28,"1,042.50"
2004- 12- 29,"1,041.50"
2004- 12- 30,"1,041.50"
2004- 12- 31,"1,035.20"
2005- 01- 03,"1,037.50"
2005- 01- 04,"1,038.50"
2005- 01- 05,"1,046.40"
2005- 01- 06,"1,058.50"
2005- 01- 07,"1,053.50"
2005- 01- 10,"1,053.50"
2005- 01- 11,"1,045.50"
2005- 01- 12,"1,042.50"
2005- 01- 13,"1,036.50"
2005- 01- 14,"1,043.50"
2005- 01- 17,"1,036.50"
2005- 01- 18,"1,035.90"
2005- 01- 19,"1,031.50"
2005- 01- 20,"1,032.50"
2005- 01- 21,"1,038.50"
2005- 01- 24,"1,032.50"
2005- 01- 25,"1,031.50"
2005- 01- 26,"1,031.70"
2005- 01- 27,"1,028.50"
2005- 01- 28,"1,024.50"
2005- 01- 31,"1,026.50"
2005- 02- 01,"1,028.50"
2005- 02- 02,"1,027.85"
2005- 02- 03,"1,025.50"
2005- 02- 04,"1,023.50"
2005- 02- 07,"1,029.50"
2005- 02- 08,"1,036.50"
2005- 02- 09,"1,038.50"
2005- 02- 10,"1,038.50"
2005- 02- 11,"1,033.50"
2005- 02- 14,"1,025.50"
2005- 02- 15,"1,024.50"
2005- 02- 16,"1,027.50"
2005- 02- 17,"1,025.50"
2005- 02- 18,"1,026.50"
2005- 02- 21,"1,023.50"
2005- 02- 22,"1,005.50"
2005- 02- 23,"1,003.50"
2005- 02- 24,"1,007.50"
2005- 02- 25,"1,008.50"
2005- 02- 28,"1,004.50"
2005- 03- 01,"1,004.50"
2005- 03- 02,"1,007.50"
2005- 03- 03,"1,006.50"
2005- 03- 04,"1,008.50"
2005- 03- 07,"1,004.70"
2005- 03- 08,"1,004.30"
2005- 03- 09,"1,001.10"
2005- 03- 10,"1,000.30"
2005- 03- 11,997.75
