"mt10id","adres","la","lo"
"FC001095","서울특별시 종로구 대학로 128 (동숭동)","37.58266589999999","127.00214289999997"
"FC001673","서울특별시 종로구 동숭길 25 (동숭동)","37.5798857","127.00368800000001"
"FC003237","서울특별시 종로구 창덕궁길 73(원서동)","37.5809051","126.9888483"
"FC001274","서울특별시 종로구 대학로8가길 66 (동숭동)","37.5829273","127.00322289999997"
"FC001884","서울특별시 종로구 대학로14길 18-2 (혜화동)","37.5839551","127.00265549999995"
"FC001204","서울특별시 종로구 대학로 133 - 6","37.58281119999999","127.0010019"
"FC002423","서울특별시 종로구 인사동5길 42 (관훈동)","37.5724815","126.9838125"
"FC001235","서울특별시 종로구 동숭길 143 (동숭동)","37.583226","127.00242409999998"
"FC001388","서울특별시 종로구 대학로10길 12 (동숭동)","37.5815649","127.00279160000002"
"FC001323","서울특별시 종로구 대학로11길 43 (명륜4가)","37.5824164","126.99917419999997"
"FC001353","서울특별시 종로구 대명1길 20 (명륜4가)","37.582654","127.00063039999998"
"FC001440","서울특별시 종로구 대학로8가길 80 (동숭동)","37.5824518","127.00325190000001"
"FC001387","서울특별시 종로구 대학로12길 15 (동숭동)","37.58269689999999","127.00283079999997"
"FC001528","서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터","37.5820171","127.00353629999995"
"FC000769","서울특별시 종로구 동숭길 50 (동숭동)","37.5805247","127.00456029999998"
"FC001213","서울특별시 종로구 동숭길 100","37.5820171","127.00353629999995"
"FC001091","서울특별시 종로구 대학로8가길 52 (동숭동)","37.5829439","127.00262709999992"
"FC002610","서울특별시 종로구 대학로10길 12 (동숭동)","37.5815915","127.0028114"
"FC001229","서울특별시 종로구 동숭길 74 (동숭동)","37.5814937","127.00428820000002"
"FC001404","서울특별시 종로구 대학로 112 (동숭동)","37.5811397","127.00238289999993"
"FC003535","서울특별시 종로구 종로 231 (종로5가)","37.5706049","127.0035272"
"FC000785","서울특별시 종로구 대학로12길 31 (동숭동)","37.5827026","127.00360520000004"
"FC002229","서울특별시 종로구 대학로 146 (혜화동) 4층","37.5842568","127.0020787"
"FC000494","서울특별시 종로구 대학로 60 (연건동)","37.576534","127.00252239999998"
"FC000774","서울특별시 종로구 동숭4길 16-3 (동숭동)","37.5832792","127.00456329999997"
