기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS100006,패스트푸드점,537132995 ,54718 ,67,33,13,13,13,14,15,18,16,0,3,23,20,42,12,42,58,5,56,18,11,8,2,350700118,186432877,61671949,69462741,70265462,68885825,80414141,106692530,79740347,1123266,15500752,141454730,100610299,227696163,50747785,217131744,279002239,20003066,263244133,94034816,65257115,42309110,11285746,36930,17788,6919,7205,7333,7563,7910,9304,8484,99,1601,11456,12195,22813,6554,21516,31822,3156,30238,9264,5517,4337,828,8
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS100010,커피-음료,2676065963 ,373460 ,66,34,11,14,14,13,15,18,16,1,5,20,29,37,9,37,63,4,61,18,9,7,1,1704000920,972065043,284295664,314586608,356877871,354065180,394175597,531830044,440234999,62295018,99801121,497905006,733336044,952723641,330005133,1011337772,1589310244,98541184,1450648371,521935188,264170256,212269726,53083294,248045,125415,44656,46936,50423,50727,55303,66996,58419,7722,19971,73681,101691,127574,42821,145004,223111,17733,215079,67607,36317,25930,5461,31
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS200008,한의원,130305051 ,472 ,84,16,17,19,14,16,19,16,0,0,3,17,32,48,0,31,69,4,44,17,19,16,1,104079449,26225602,19205932,26065374,14069512,24610576,20128055,26225602,0,0,4517411,29530125,40699325,55558190,0,38040305,89877557,6201770,47881547,13343730,34798686,24852418,839709,397,75,79,90,63,76,89,75,0,0,12,83,146,231,0,143,323,19,205,77,87,73,4,1
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS200037,노래방,227866995 ,17106 ,53,47,10,9,9,10,15,22,25,26,0,1,8,31,34,57,43,7,51,22,12,6,2,133160387,94706608,25400118,23943441,23185410,24876922,35754496,54025730,40680878,68732932,147497,2663590,13124061,59114097,84084818,126844244,94905036,13130615,117462895,44609041,24845260,17648690,4052781,10231,6875,1882,1759,1885,1980,2725,3873,3002,3351,26,431,1659,5863,5776,8621,8370,1637,10982,2326,1087,790,172,18
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300017,시계및귀금속,8156643 ,466 ,78,22,18,9,15,15,21,22,0,0,7,31,30,33,0,44,56,0,50,11,13,16,11,6534374,1622269,1401648,741442,777364,1099750,2514170,1622269,0,0,243640,3690709,2432515,1789779,0,4320479,3592352,0,2541508,688405,982764,1066161,2633993,364,102,86,43,73,65,97,102,0,0,29,149,138,150,0,200,247,0,224,51,56,67,49,2
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS200028,미용실,273259316 ,10385 ,68,33,13,12,13,14,16,16,16,0,1,17,32,47,3,53,47,3,59,19,9,8,2,181990634,91268682,33855880,26654205,39600200,38728098,43152251,48823967,42444715,0,1086474,39812468,87188790,128789301,16382283,115165833,158093483,8751015,160105720,57412018,22658794,20618866,3712903,6934,3451,1316,1107,1421,1465,1625,1755,1696,0,79,1886,3316,4836,268,5707,4678,326,6203,2112,837,752,155,9
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS200016,당구장,24349627 ,2391 ,64,36,10,12,14,12,16,20,17,14,0,1,15,37,34,82,18,10,61,10,9,8,2,15626824,8722803,2530726,2729047,3405832,3092902,3868317,4934601,3788202,3807159,0,133160,3234380,8809594,8365334,20189775,4159852,2046880,14145099,2778000,2402221,2350378,627049,1519,872,242,273,339,296,369,478,394,336,0,18,348,883,806,1958,433,243,1469,239,201,193,46,3
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS100003,일식음식점,3524205152 ,132283 ,66,34,11,13,13,14,16,18,16,6,0,20,15,44,15,50,50,5,54,19,11,9,2,2297063296,1227141856,393645112,450443919,456779069,461011731,535183465,658302295,568839561,171858476,1115263,744976112,513627393,1565942625,526685283,1696585489,1567166023,100712110,1589940716,687372116,439406907,326590871,119728801,89648,42635,15325,17836,17597,18496,20394,22658,19977,3960,50,32444,21508,60250,14071,61141,65961,5877,70303,22429,13556,11358,3582,28
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300006,미곡판매,44842409 ,804 ,90,10,15,12,24,17,22,10,0,0,13,56,14,16,0,38,63,0,13,11,18,4,55,38325273,6517136,1993477,4830348,5272863,9828880,16399705,6517136,0,0,2751157,26793343,6633951,8663958,0,13629573,18311810,0,1265091,1900280,8648125,991378,19136511,708,96,96,114,155,162,181,96,0,0,98,428,125,153,0,304,386,0,58,60,146,31,397,1
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300016,안경,872900051 ,22326 ,67,33,12,13,12,15,14,15,18,0,2,20,28,42,8,39,61,6,49,12,13,10,10,582122902,290777149,105858873,105718558,120220557,121712098,128612816,144438682,146338467,0,10983370,138935400,237468538,380976051,104536692,242850872,620528780,45946504,481110576,139910404,87700938,80253444,28457786,15506,6820,2769,2857,3192,3303,3385,3463,3357,0,346,3438,5736,9949,2857,4037,18151,2218,14224,2443,1562,1437,302,7
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300001,슈퍼마켓,1017172581 ,81635 ,64,36,9,12,14,13,16,18,18,0,3,11,22,49,14,21,79,6,46,20,11,9,7,685820231,331352350,123170703,125542569,140390720,143322827,153393412,175373745,155978605,443008,41864696,144616589,248821326,424488286,156938676,262249664,691630779,58580317,393101826,140939072,125564216,126836304,108858709,55460,26175,10030,10283,11278,11556,12313,13243,12932,26,3459,11460,18950,34320,13420,21685,56288,5434,35584,11159,9156,9333,7308,10
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300024,운동/경기용품,490334901 ,2747 ,41,59,11,7,7,6,10,35,25,0,2,22,30,38,8,56,44,7,58,21,8,5,2,125185029,365149872,46795812,16013348,15529185,15101068,31745616,232344310,132805562,0,10350747,130592774,161551803,163392660,24446917,322777263,167557638,39048313,303035981,103238276,26025481,13004682,5982168,1060,1687,274,188,171,161,266,991,696,0,57,610,839,1037,204,1553,1194,186,1599,577,215,128,42,2
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300011,일반의류,784190007 ,17598 ,75,25,16,13,15,18,13,17,8,0,1,19,26,46,8,16,84,2,34,21,28,10,5,549056269,235133738,99552927,118827412,104848382,111878809,113948739,133918393,101215345,0,4877775,127537794,188712328,366282124,96779986,130095149,652120855,15759897,332986428,180670384,148635304,84435383,19728609,11967,5631,2133,2398,2227,2450,2759,3080,2551,0,140,3007,4415,8046,1990,2992,14571,500,8342,3743,2898,1748,331,27
2017,2,D,발달상권,1001242,혜화역 대학로_3,CS300004,핸드폰,427335656 ,24935 ,73,28,12,15,16,13,16,15,12,0,2,23,27,47,1,43,57,3,42,21,17,12,5,353367927,73967729,215032776,51946004,22123353,29810081,34455713,49531149,24436580,0,11023632,219919433,83274168,113026236,92187,98147614,328213824,9268885,101296172,32985511,59361929,32998993,190449948,17733,7202,3256,3687,3022,3839,3929,4143,3059,0,942,6531,5850,11602,10,9980,14761,1148,10630,4212,4770,2402,1579,8
