"prfnmfct","prfnmplc","seatcnt","prfprocnt","prfdtcnt","totnmrs","year_q"
"라이프 씨어터","라이프 씨어터","136","0","110","1917","2017-4"
"맛있는 극장","맛있는 극장","90","0","39","140","2017-4"
"한국방송회관 코바코홀 (구. 브로드홀)","한국방송회관 코바코홀 (구. 브로드홀)","290","3","11","28","2017-4"
"국립극단 [용산]","백성희장민호극장","182","2","37","2714","2017-4"
"국립극단 [용산]","소극장판","100","15","57","4094","2017-4"
"등나무","등나무","0","0","0","0","2017-4"
"스튜디오 둘","스튜디오 둘","50","0","0","0","2017-4"
"스튜디오하나","스튜디오하나","0","0","0","0","2017-4"
"야외마당","야외마당","0","0","0","0","2017-4"
"작은숲속 극장","작은숲속 극장","0","0","0","0","2017-4"
"블록블록 극장","블록블록 극장","0","0","0","0","2017-4"
"SJ비보이극장(구. 비보이전용극장)","SJ비보이극장(구. 비보이전용극장)","356","0","6","18","2017-4"
"삼형제극장(환상극장)","삼형제극장(환상극장)","130","0","238","2836","2017-4"
"청년극장 (구. 대학로 아트홀 1관 구. 서울문화예술대학교 대학로 극장)","청년극장 (구. 대학로 아트홀 1관 구. 서울문화예술대학교 대학로 극장)","114","0","202","1763","2017-4"
"국립정동극장 세실 (구.세실극장)","국립정동극장 세실 (구.세실극장)","234","5","54","4091","2017-4"
"소월아트홀(성동문화회관)","소월아트홀(성동문화회관)","520","2","10","64","2017-4"
"스튜디오76(구 이랑씨어터)","스튜디오76(구 이랑씨어터)","210","1","12","15","2017-4"
"아트씨어터 문(안톤체홉극장)","아트씨어터 문(안톤체홉극장)","0","1","41","700","2017-4"
"연극실험실 혜화동1번지","연극실험실 혜화동1번지","70","1","10","40","2017-4"
"R&J씨어터(구. 연진아트홀)","R&J씨어터(구. 연진아트홀)","130","2","13","75","2017-4"
"예술공간 서울","예술공간 서울","120","2","20","169","2017-4"
"예술공간 오르다(구. 우석레파토리극장)","예술공간 오르다(구. 우석레파토리극장)","102","1","16","101","2017-4"
"지즐소극장","지즐소극장","84","1","15","111","2017-4"
"정극장 (구. M시어터, 구.하모니아트홀)","정극장 (구. M시어터, 구.하모니아트홀)","120","0","211","748","2017-4"
"성수아트홀(성수문화복지회관)","성수아트홀(성수문화복지회관)","350","2","3","80","2017-4"
"바탕골소극장","바탕골소극장","192","0","275","30888","2017-4"
"동숭무대소극장","동숭무대소극장","120","0","4","6","2017-4"
"달빛극장","달빛극장","96","2","12","24","2017-4"
"KT체임버홀","KT체임버홀","403","3","8","382","2017-4"
"명작극장 (구 아츠플레이씨어터)","명작극장 (구 아츠플레이씨어터)","173","1","81","204","2017-4"
"명작극장(구. 명작극장 2관)","명작극장(구. 명작극장 2관)","203","0","0","0","2017-4"
"컬쳐씨어터(구. 휴먼시어터)","컬쳐씨어터(구. 휴먼시어터)","120","0","180","673","2017-4"
"홍익대 대학로 아트센터","대극장","702","1","97","31804","2017-4"
"홍익대 대학로 아트센터","소극장","150","1","3","187","2017-4"
"공간아울","공간아울","172","2","39","304","2017-4"
"예그린씨어터","예그린씨어터","202","1","30","146","2017-4"
"서강대 메리홀","대극장","428","1","2","856","2017-4"
"서강대 메리홀","소극장","100","1","1","4","2017-4"
"드림시어터 [대학로]","드림시어터 [대학로]","125","6","25","167","2017-4"
"서연아트홀(구. 인아소극장)","서연아트홀(구. 인아소극장)","154","1","160","1602","2017-4"
"극장 동국","극장 동국","84","2","15","87","2017-4"
"순위아트홀1관 [대학로]","순위아트홀1관 [대학로]","221","0","559","39603","2017-4"
"대학로 위로홀(구. 몬스터홀)","대학로 위로홀(구. 몬스터홀)","123","0","92","355","2017-4"
"하마씨어터(구. 가든씨어터)","하마씨어터(구. 가든씨어터)","190","0","5","13","2017-4"
"유니플렉스","1관(대극장)","600","0","110","22470","2017-4"
"2관(중극장)","2관(중극장)","300","0","0","0","2017-4"
"3관(소극장)","3관(소극장)","200","0","0","0","2017-4"
"예스24 스테이지(구. DCF대명문화공장)","1관","406","0","41","12181","2017-4"
"2관","2관","301","0","0","0","2017-4"
"3관(구. 수현재씨어터)","3관(구. 수현재씨어터)","255","0","0","0","2017-4"
"KSPO DOME(체조경기장)","KSPO DOME(체조경기장)","15000","0","0","0","2017-4"
"SK핸드볼경기장(펜싱경기장)","SK핸드볼경기장(펜싱경기장)","5003","0","0","0","2017-4"
"올림픽홀","올림픽홀","2432","0","0","0","2017-4"
"뮤즈라이브","뮤즈라이브","237","0","0","0","2017-4"
"올림픽공원","우리금융아트홀(역도경기장)","1184","5","58","1629","2017-4"
"올림픽공원","K-아트홀","500","2","10","2693","2017-4"
"야외(88잔디마당)","야외(88잔디마당)","10000","0","0","0","2017-4"
"올림픽공원","야외(수변무대)","1000","1","1","975","2017-4"
"벨로드롬(경륜경기장)","벨로드롬(경륜경기장)","6000","0","0","0","2017-4"
"평화광장","평화광장","0","0","0","0","2017-4"
"일대","일대","0","0","0","0","2017-4"
"더 씨어터","더 씨어터","96","1","1","2","2017-4"
"해오름 예술극장","해오름 예술극장","170","1","28","170","2017-4"
"문화공간 엘림홀","문화공간 엘림홀","230","1","1","0","2017-4"
"성균소극장","성균소극장","100","1","4","9","2017-4"
"스튜디오SK","스튜디오SK","80","0","0","0","2017-4"
"소극장공유(구. 키작은소나무극장)","소극장공유(구. 키작은소나무극장)","80","4","50","143","2017-4"
"페인터즈 히어로 종로전용관(서울극장)","페인터즈히어로 전용관","488","0","44","217","2017-4"
"노을소극장","노을소극장","80","3","8","17","2017-4"
"동화소극장","동화소극장","60","0","91","539","2017-4"
"씨어터 송","씨어터 송","100","1","6","33","2017-4"
"경희대학교 평화의전당","경희대학교 평화의전당","4500","1","2","85","2017-4"
"시온아트홀 (구. JK아트홀, 샘아트홀)","시온아트홀(구. JK아트홀, 샘아트홀)","134","2","8","29","2017-4"
"해피씨어터","해피씨어터","250","0","109","2200","2017-4"
"창동극장","창동극장","100","1","5","26","2017-4"
"극장 봄 (봄소극장)","극장 봄","55","0","1","2","2017-4"
"성균관대학교 새천년홀","성균관대학교 새천년홀","754","1","2","7","2017-4"
"대학로 달달씨어터","대학로 달달씨어터","100","0","32","173","2017-4"
"동대문구민회관","대강당","548","2","7","165","2017-4"
"광림아트센터","장천홀","613","9","14","165","2017-4"
"광림아트센터","BBCH홀","1026","1","86","4173","2017-4"
"무계원","사랑채","35","1","3","30","2017-4"
"아루또소극장(구. 소담소극장, 구. 코메디컬센터)","아루또소극장(구. 소담소극장, 구. 코메디컬센터)","97","1","44","212","2017-4"
"옵신 스페이스(구. 서촌공간 서로)","옵신 스페이스(구. 서촌공간 서로)","70","4","34","177","2017-4"
"SH아트홀","SH아트홀","262","3","15","56","2017-4"
"문래예술공장","박스씨어터","100","2","4","39","2017-4"
"갤러리M30","갤러리M30","80","0","0","0","2017-4"
"대학로 두레홀 4관 (폐관)","대학로 두레홀 4관 (폐관)","202","1","66","369","2017-4"
"대학로 극장가게 (구. 문씨어터, 지구인씨어터)","대학로 극장가게 (구. 문씨어터, 지구인씨어터)","204","0","16","35","2017-4"
"영등포 타임스퀘어","키즈앤키즈 소극장(폐관)","50","1","92","622","2017-4"
"대학로 이음센터","이음홀","80","2","8","166","2017-4"
"이음갤러리","이음갤러리","40","0","0","0","2017-4"
"GBB스페이스홀(구. 임혁필소극장)","GBB스페이스홀(구. 임혁필소극장)","100","1","2","5","2017-4"
"페리지홀","페리지홀","202","2","2","27","2017-4"
"여의도 이랜드크루즈 제1터미널","여의도 이랜드크루즈 제1터미널","20","0","2","3","2017-4"
"홍대 the STUMP(더 스텀프)","홍대 the STUMP(더 스텀프)","100","2","21","142","2017-4"
"성북구민회관","대강당","750","1","4","171","2017-4"
"놀터예술공방","놀터예술공방","50","1","5","10","2017-4"
"스튜디오 QDA(구. 춤공장)","스튜디오 QDA(구. 춤공장)","20","1","2","6","2017-4"
"한국콘텐츠진흥원 CKL스테이지","한국콘텐츠진흥원 CKL스테이지","190","2","6","40","2017-4"
"해바라기소극장(구. 훈아트홀)","해바라기소극장(구. 훈아트홀)","61","0","144","507","2017-4"
"종로아이들극장","종로아이들극장","281","2","23","1671","2017-4"
"대학로 두레홀 3관","대학로 두레홀 3관","220","0","30","69","2017-4"
"서울돈화문국악당","서울돈화문국악당","140","3","8","499","2017-4"
"호은아트홀(구 키득키득아트홀)","호은아트홀(구 키득키득아트홀)","200","0","81","241","2017-4"
"KB아트홀 [강남] (구. LIG아트홀 강남)","KB아트홀 [강남] (구. LIG아트홀 강남)","147","2","2","133","2017-4"
"강동구민회관","대강당","608","1","2","20","2017-4"
"탑아트홀","탑아트홀","101","0","2","4","2017-4"
"플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)","플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)","359","0","337","41403","2017-4"
"롯데콘서트홀","롯데콘서트홀","2036","22","29","1120","2017-4"
"대학로 드림아트센터","1관","352","0","8","652","2017-4"
"대학로 드림아트센터","2관 더블케이씨어터","210","1","27","110","2017-4"
"대학로 드림아트센터","3관 나몰라홀","210","0","6","1","2017-4"
"대학로 드림아트센터","4관","208","4","79","431","2017-4"
"여행자극장","여행자극장","100","5","46","417","2017-4"
"세실아트홀","세실아트홀","100","2","2","49","2017-4"
"엠스테이지(구.인사아트홀)","엠스테이지(구.인사아트홀)","176","3","14","220","2017-4"
"공간 222","공간 222","33","0","1","1","2017-4"
"정태호소극장 comedy maker","정태호소극장 comedy maker","100","0","14","31","2017-4"
"금호아트홀 연세","금호아트홀 연세","390","9","9","144","2017-4"
"30스튜디오 (폐관)","30스튜디오 (폐관)","65","3","42","1518","2017-4"
"레미어린이극장 [금천]","레미어린이극장 [금천]","194","1","13","51","2017-4"
"JCC 아트센터","콘서트홀","175","2","2","243","2017-4"
"4전시장","4전시장","0","0","0","0","2017-4"
"오디토리움","오디토리움","0","0","0","0","2017-4"
"크리에이티브 스튜디오","크리에이티브 스튜디오","0","0","0","0","2017-4"
"플랫폼 창동 61","레드박스","150","1","1","6","2017-4"
"KBS스포츠월드(아레나)","KBS아레나","2222","1","1","1396","2017-4"
"효천아트센터 그라운드씬","효천아트센터 그라운드씬","201","2","1","1","2017-4"
"아트포레스트 아트홀","1관","212","1","2","4","2017-4"
"아트포레스트 아트홀","2관","155","1","46","115","2017-4"
"라이트씨어터","라이트씨어터","30","0","6","82","2017-4"
"웨스트브릿지 라이브홀","웨스트브릿지 라이브홀","150","4","4","137","2017-4"
"세븐파이프홀","세븐파이프홀","71","1","3","4","2017-4"
"강남씨어터","강남씨어터","232","1","2","276","2017-4"
"일신홀","일신홀","189","7","7","113","2017-4"
"창작플랫폼 경험과 상상","창작플랫폼 경험과 상상","50","2","4","8","2017-4"
"알록 에피소드","알록 에피소드","0","2","3","11","2017-4"
"창조소극장 (구. 민아트홀)","창조소극장 (구. 민아트홀)","100","1","3","6","2017-4"
"국기원","국기원","3000","0","25","97","2017-4"
"클럽K 서울","선릉라운지","100","1","3","6","2017-4"
"홍대 김대범소극장 (폐관)","홍대 김대범소극장 (폐관)","96","0","43","96","2017-4"
"서대문문화체육회관","대극장","589","1","1","585","2017-4"
"소극장","소극장","150","0","0","0","2017-4"
"뜻밖의 극장(구. 해우소소극장)","뜻밖의 극장(구. 해우소소극장)","65","1","6","66","2017-4"
"랑씨어터","랑씨어터","77","1","2","6","2017-4"
"민송아트홀 (구. 브로드웨이아트홀)","1관","272","1","2","4","2017-4"
"민송아트홀 (구. 브로드웨이아트홀)","2관","194","2","38","204","2017-4"
"행화탕 (폐관)","행화탕 (폐관)","100","1","3","7","2017-4"
"서울애니메이션센터","애니시네마 상영관","179","1","12","94","2017-4"
"사랑하니까 이야기다","사랑하니까 이야기다","25","2","4","12","2017-4"
"소셜베뉴 라움","마제스틱볼룸","828","0","4","32","2017-4"
"체임버홀","체임버홀","384","0","0","0","2017-4"
"그라스가든","그라스가든","350","0","0","0","2017-4"
"신촌극장","신촌극장","40","0","1","2","2017-4"
"KBEC발레시어터","소극장","75","2","5","185","2017-4"
"명동대성당","꼬스트홀","450","1","1","63","2017-4"
"파밀리아 채플","파밀리아 채플","200","0","0","0","2017-4"
"대성전","대성전","0","0","0","0","2017-4"
"리코디아 아트홀","리코디아 아트홀","120","1","1","4","2017-4"
"플랫폼-엘 컨템포러리 아트센터","플랫폼 라이브","172","1","2","9","2017-4"
"얼라이브홀(구. 크랙홀)","얼라이브홀(구. 크랙홀)","130","1","1","23","2017-4"
"오디오가이스튜디오","오디오가이스튜디오","100","1","2","81","2017-4"
"MHN STAGE","MHN STAGE","80","3","4","71","2017-4"
"노원어린이극장(구.노원어울림극장)","노원어린이극장(구.노원어울림극장)","282","1","1","2","2017-4"
"연세대학교 대강당","연세대학교 대강당","1641","1","3","168","2017-4"
"연세대학교 백주년기념관","연세대학교 백주년기념관","829","1","1","0","2017-4"
"연세대학교 루스채플","연세대학교 루스채플","252","2","2","28","2017-4"
"에이치씨어터","익스트림씨어터 2관","180","0","10","25","2017-4"
"익스트림씨어터 3관","익스트림씨어터 3관","130","1","13","32","2017-4"
"작은극장 광야(구. 대학로예술극장 3관) (폐관)","작은극장 광야(구. 대학로예술극장 3관) (폐관)","30","1","6","33","2017-4"
"스위스그랜드호텔","컨벤션홀","800","1","2","54","2017-4"
"그랜드볼룸","그랜드볼룸","400","0","0","0","2017-4"
"에메랄드홀","에메랄드홀","300","0","0","0","2017-4"
"현대카드 언더스테이지","스튜디오","350","1","2","90","2017-4"
"Vinyl ＆ Plastic(뮤직라이브러리)","Vinyl ＆ Plastic(뮤직라이브러리)","25","0","0","0","2017-4"
"잠실종합운동장","FB빅탑시어터","500","1","1","313","2017-4"
"실내체육관","실내체육관","11032","0","0","0","2017-4"
"특설링","특설링","0","0","0","0","2017-4"
"보조경기장","보조경기장","1782","0","0","0","2017-4"
"주경기장","주경기장","65599","0","0","0","2017-4"
"로열씨어터","로열씨어터","500","0","0","0","2017-4"
"서문주차장","서문주차장","0","0","0","0","2017-4"
"빅탑","빅탑","2400","0","0","0","2017-4"
"무브홀","무브홀","400","2","3","475","2017-4"
"63컨벤션센터","그랜드볼룸","2000","2","4","535","2017-4"
"벨로주 [홍대] (구. 왓에버)","벨로주 [홍대] (구. 왓에버)","123","1","1","1","2017-4"
"서울숲공원","야외무대","800","1","2","68","2017-4"
"가족마당","가족마당","0","0","0","0","2017-4"
"롯데호텔 [서울]","크리스탈볼룸","1200","2","3","100","2017-4"
"그랜드 인터컨티넨탈 서울 파르나스","그랜드볼룸","1160","2","3","2","2017-4"
"롯데호텔 [월드]","크리스탈볼룸","400","1","2","36","2017-4"
"세종대학교 광개토관","컨벤션홀","2700","1","1","2","2017-4"
"오디토리움","오디토리움","360","0","0","0","2017-4"
"제일라아트홀","제일라아트홀","250","1","1","38","2017-4"
"아르코예술극장","대극장","600","15","34","6006","2017-4"
"아르코예술극장","소극장","110","8","45","3063","2017-4"
"3층 테라스","3층 테라스","0","0","0","0","2017-4"
"1층 로비","1층 로비","0","0","0","0","2017-4"
"스튜디오 다락","스튜디오 다락","0","0","0","0","2017-4"
"대학로예술극장","대극장","504","11","54","10208","2017-4"
"대학로예술극장","소극장","132","7","60","4217","2017-4"
"3관 [폐관]","3관 [폐관]","163","0","0","0","2017-4"
"후암스테이지","1관 (구. 마라카 3관, 오씨어터)","115","1","18","93","2017-4"
"2관","2관","0","0","0","0","2017-4"
"후암씨어터(콘텐츠룸)","후암씨어터(콘텐츠룸)","209","0","143","3501","2017-4"
"타이니앨리스","타이니앨리스","144","1","2","1","2017-4"
"울씨어터(구. 미아트홀) (폐관)","울씨어터(구. 미아트홀) (폐관)","120","0","17","36","2017-4"
"아스가르드 씨어터(구. 낙산씨어터)","아스가르드 씨어터(구. 낙산씨어터)","100","0","14","38","2017-4"
"이태원 해밀톤 호텔","이태원 해밀톤 호텔","0","1","1","30","2017-4"
"B1 라운지클럽","B1 라운지클럽","0","0","0","0","2017-4"
"예술의전당","CJ 토월극장","1004","1","40","3144","2018-1"
"예술의전당","리사이틀홀","354","30","30","8286","2018-1"
"예술의전당","콘서트홀","2527","26","26","30745","2018-1"
"예술의전당","자유소극장","241","2","19","2809","2018-1"
"예술의전당","IBK챔버홀","600","45","45","16282","2018-1"
"예술의전당","오페라극장","2283","2","9","9400","2018-1"
"신세계스퀘어 야외무대","신세계스퀘어 야외무대","1000","0","0","0","2018-1"
"인춘아트홀","인춘아트홀","130","0","0","0","2018-1"
"1101어린이라운지","1101어린이라운지","0","0","0","0","2018-1"
"서예박물관 ","서예박물관 ","0","0","0","0","2018-1"
"N스튜디오(국립예술단체공연연습장) 공용1","N스튜디오(국립예술단체공연연습장) 공용1","20","0","0","0","2018-1"
"구. LG아트센터","구. LG아트센터","1103","4","5","787","2018-1"
"국립극장","하늘극장","627","4","49","6101","2018-1"
"국립극장","별오름극장","100","1","2","45","2018-1"
"해오름극장","해오름극장","1221","0","0","0","2018-1"
"국립극장","달오름극장","512","3","6","403","2018-1"
"연습실","연습실","0","0","0","0","2018-1"
"국립극단 [명동]","명동예술극장","558","2","36","9535","2018-1"
"국립정동극장","국립정동극장","326","1","15","2897","2018-1"
"정동마루","정동마루","60","0","0","0","2018-1"
"국립중앙박물관 극장 용","국립중앙박물관 극장 용","805","1","46","12846","2018-1"
"국립국악원","예악당","706","10","17","8123","2018-1"
"국립국악원","우면당","231","9","24","4218","2018-1"
"국립국악원","풍류사랑방","130","11","28","3265","2018-1"
"연희마당","연희마당","700","0","0","0","2018-1"
"진악당(폐관)","진악당(폐관)","600","0","0","0","2018-1"
"유니버설아트센터","유니버설아트센터","1084","1","62","15058","2018-1"
"디큐브아트센터","디큐브씨어터","1242","0","104","88281","2018-1"
"스페이스 신도림(폐관)","스페이스 신도림(폐관)","500","0","0","0","2018-1"
"샤롯데씨어터","샤롯데씨어터","1230","1","89","2225","2018-1"
"소극장 블루","소극장 블루","218","0","0","0","2018-1"
"충무아트센터","대공연장","1255","2","12","850","2018-1"
"충무아트센터","중극장 블랙","325","0","36","5754","2018-1"
"충무아트센터","컨벤션센터","200","1","1","108","2018-1"
"세종문화회관","세종대극장","3022","14","116","28033","2018-1"
"세종문화회관","세종체임버홀","443","72","75","29077","2018-1"
"세종문화회관","세종M씨어터","609","3","110","10021","2018-1"
"세종S씨어터","세종S씨어터","300","0","0","0","2018-1"
"뜨락(야외공간)(폐관)","뜨락(야외공간)(폐관)","0","0","0","0","2018-1"
"세종예술아카데미(스퀘어홀)","세종예술아카데미(스퀘어홀)","94","0","0","0","2018-1"
"세종예술아카데미(서클홀)","세종예술아카데미(서클홀)","50","0","0","0","2018-1"
"세종예술아카데미(오픈스테이지)","세종예술아카데미(오픈스테이지)","100","0","0","0","2018-1"
"강동아트센터","소극장 드림","254","2","38","851","2018-1"
"강동아트센터","대극장 한강","862","7","85","7907","2018-1"
"스튜디오#1","스튜디오#1","100","0","0","0","2018-1"
"스튜디오#3(폐관)","스튜디오#3(폐관)","40","0","0","0","2018-1"
"잔디마당(바람꽃마당)(폐관)","잔디마당(바람꽃마당)(폐관)","2000","0","0","0","2018-1"
"블루스퀘어","신한카드홀(구. 인터파크홀)","1766","1","67","44514","2018-1"
"Mastercard Hall(구.아이마켓홀)","Mastercard Hall(구.아이마켓홀)","1373","0","0","0","2018-1"
"카오스홀","카오스홀","266","0","0","0","2018-1"
"NEMO","NEMO","0","0","0","0","2018-1"
"나루아트센터","소공연장","167","1","37","530","2018-1"
"대공연장","대공연장","601","0","0","0","2018-1"
"갤러리(전시실)","갤러리(전시실)","0","0","0","0","2018-1"
"노원문화예술회관","대공연장","608","1","1","437","2018-1"
"소공연장","소공연장","292","0","0","0","2018-1"
"세라믹팔레스홀","세라믹팔레스홀","440","2","2","120","2018-1"
"KT&G 상상마당 대치아트홀","KT&G 상상마당 대치아트홀","422","1","31","5615","2018-1"
"1관","1관","260","0","0","0","2018-1"
"윤당아트홀","2관","150","1","63","709","2018-1"
"영등포아트홀","영등포아트홀","526","1","1","11","2018-1"
"은평문화예술회관","공연장","701","1","18","105","2018-1"
"숲속극장","숲속극장","350","0","0","0","2018-1"
"한국문화의집 KOUS","한국문화의집 KOUS","234","2","2","7","2018-1"
"홍대난타극장(구. 뮤직쇼웨딩 전용관)","홍대난타극장(구. 뮤직쇼웨딩 전용관)","323","0","129","1778","2018-1"
"CJ아지트 대학로 (구. SM아트홀)","CJ아지트 대학로 (구. SM아트홀)","190","1","29","2161","2018-1"
"한전아트센터","한전아트센터","999","1","18","9998","2018-1"
"더케이아트홀","더케이아트홀","998","2","72","669","2018-1"
"동서울아트홀","동서울아트홀","234","1","1","19","2018-1"
"JTN 아트홀(구. 대학로예술마당)","2관","210","1","2","3","2018-1"
"JTN 아트홀(구. 대학로예술마당)","1관","230","0","44","2835","2018-1"
"JTN 아트홀(구. 대학로예술마당)","4관","208","0","47","168","2018-1"
"JTN 아트홀(구. 대학로예술마당)","3관","208","0","75","575","2018-1"
"한성아트홀(구. 인켈아트홀)","2관","155","1","4","6","2018-1"
"한성아트홀(구. 인켈아트홀)","1관","245","1","14","249","2018-1"
"코엑스","신한카드 아티움","1004","4","104","3570","2018-1"
"코엑스","아트홀","200","1","6","19","2018-1"
"오디토리움","오디토리움","1080","0","0","0","2018-1"
"컨퍼런스룸(남)","컨퍼런스룸(남)","450","0","0","0","2018-1"
"K팝 광장(동문)","K팝 광장(동문)","0","0","0","0","2018-1"
"D홀","D홀","7000","0","0","0","2018-1"
"그랜드볼룸","그랜드볼룸","1800","0","0","0","2018-1"
"Hall C","Hall C","0","0","0","0","2018-1"
"나온씨어터","나온씨어터","95","2","13","184","2018-1"
"한양레퍼토리씨어터","한양레퍼토리씨어터","0","1","11","48","2018-1"
"청운예술극장(구. 글로브극장)","청운예술극장(구. 글로브극장)","110","1","8","13","2018-1"
"4관","4관","347","0","0","0","2018-1"
"6관","6관","174","0","0","0","2018-1"
"1관","1관","292","0","0","0","2018-1"
"2관","2관","327","0","0","0","2018-1"
"경향아트힐","썬앤문전용관","300","0","78","211","2018-1"
"경향아트힐","5관","212","1","2","27","2018-1"
"예스24 라이브홀 (구. 악스코리아)","예스24 라이브홀 (구. 악스코리아)","2500","10","10","7494","2018-1"
"하나투어 브이홀","하나투어 브이홀","250","9","9","791","2018-1"
"프라임아트홀","프라임아트홀","400","2","93","1430","2018-1"
"도봉구민회관","대강당(하모니홀)","552","1","3","9","2018-1"
"소공연장","소공연장","190","0","0","0","2018-1"
"파랑새극장(구. 샘터파랑새극장)","1관","180","0","61","668","2018-1"
"미마지아트센터","물빛극장","0","1","41","279","2018-1"
"미마지아트센터","풀빛극장(오아시스극장)","0","0","161","4811","2018-1"
"눈빛극장","눈빛극장","282","0","0","0","2018-1"
"KT&G 상상마당 라이브홀 [마포]","KT&G 상상마당 라이브홀 [마포]","185","2","2","425","2018-1"
"선돌극장","선돌극장","130","3","33","270","2018-1"
"아티스탄홀","아티스탄홀","300","1","112","537","2018-1"
"KBS홀","KBS홀","1661","2","2","1560","2018-1"
"티오엠씨어터(구. 문화공간필링)","1관","335","1","49","1565","2018-1"
"티오엠씨어터(구. 문화공간필링)","2관","249","1","1","37","2018-1"
"연습실A","연습실A","0","0","0","0","2018-1"
"시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","378","0","2","5","2018-1"
"영산아트홀","영산아트홀","598","3","3","12","2018-1"
"소극장 (폐관)","소극장 (폐관)","161","0","0","0","2018-1"
"동숭아트센터 (폐관)","동숭홀 (폐관)","452","0","40","5598","2018-1"
"동숭아트센터 (폐관)","꼭두소극장 (폐관)","151","1","22","644","2018-1"
"금호아트홀 (폐관)","금호아트홀 (폐관)","390","14","14","741","2018-1"
"문호아트홀 (폐관)","문호아트홀 (폐관)","210","0","0","0","2018-1"
"두산아트센터","Space111","0","1","13","952","2018-1"
"연강홀","연강홀","622","0","0","0","2018-1"
"로비","로비","0","0","0","0","2018-1"
"지인시어터(구. 알과핵소극장)","지인시어터(구. 알과핵소극장)","176","2","22","110","2018-1"
"씨어터조이 (구. 마당세실극장)","씨어터조이 (구. 마당세실극장)","80","1","26","221","2018-1"
"봄날아트홀(구. 아리랑소극장)","2관(지하2층)","129","0","92","664","2018-1"
"봄날아트홀(구. 아리랑소극장)","1관(지하1층)","123","0","29","84","2018-1"
"북촌아트홀","북촌아트홀","140","1","15","91","2018-1"
"열린극장","열린극장","160","1","1","2","2018-1"
"연우소극장","연우소극장","80","2","14","234","2018-1"
"퍼포먼스홀","퍼포먼스홀","283","0","0","0","2018-1"
"꿈의숲아트센터","콘서트홀","301","3","5","24","2018-1"
"야외 볼프라자","야외 볼프라자","0","0","0","0","2018-1"
"남산골한옥마을","서울남산국악당 크라운해태홀","302","1","1","22","2018-1"
"민씨가옥","민씨가옥","50","0","0","0","2018-1"
"천우각무대","천우각무대","100","0","0","0","2018-1"
"일대","일대","0","0","0","0","2018-1"
"서울남산국악당 야외마당","서울남산국악당 야외마당","0","0","0","0","2018-1"
"체험실","체험실","0","0","0","0","2018-1"
"NH아트홀 판타스틱 전용관","NH아트홀 판타스틱 전용관","405","0","31","106","2018-1"
"명동난타극장","명동난타극장","386","0","173","1488","2018-1"
"올래홀","올래홀","175","0","7","18","2018-1"
"부암아트홀","부암아트홀","120","1","2","2","2018-1"
"파랑씨어터 (구. 도향아트홀, 뮤디스홀)","파랑씨어터 (구. 도향아트홀, 뮤디스홀)","163","1","40","98","2018-1"
"대학로 마로니에소극장(플레이더씨어터)","대학로 마로니에소극장(플레이더씨어터)","130","0","18","47","2018-1"
"예술극장 나무와물","예술극장 나무와물","154","0","95","1177","2018-1"
"대학로단막극장","대학로단막극장","66","1","56","263","2018-1"
"구로아트밸리","예술극장","579","1","3","865","2018-1"
"금나래아트홀","금나래아트홀","552","1","3","287","2018-1"
"강남구민회관","강당","516","1","1","137","2018-1"
"마포아트센터","아트홀맥","733","5","5","2652","2018-1"
"마포아트센터","플레이맥","201","8","12","1185","2018-1"
"마포아트센터","스튜디오3","120","1","1","36","2018-1"
"용산아트홀","대극장 미르","787","1","2","28","2018-1"
"용산아트홀","소극장 가람","304","1","4","37","2018-1"
"세우아트센터","1관","168","0","65","755","2018-1"
"2관","2관","102","0","0","0","2018-1"
"산울림소극장","산울림소극장","100","0","5","39","2018-1"
"흰물결아트센터","화이트홀","475","1","1","4","2018-1"
"아트홀","아트홀","200","0","0","0","2018-1"
"예술극장","예술극장","300","0","0","0","2018-1"
"대학로아트원씨어터","1관","365","1","50","831","2018-1"
"대학로아트원씨어터","2관","250","1","11","189","2018-1"
"대학로아트원씨어터","3관","158","0","130","12655","2018-1"
"강동어린이회관","아이누리홀","162","3","11","58","2018-1"
"콘텐츠박스(구. 르메이에르 씨어터)","콘텐츠박스(구. 르메이에르 씨어터)","197","0","188","8763","2018-1"
"구로구민회관","구로구민회관","531","1","2","335","2018-1"
"하람홀","하람홀","189","0","0","0","2018-1"
"다온홀","다온홀","318","0","0","0","2018-1"
"명보아트홀","가온홀","333","0","18","57","2018-1"
"명보아트홀","라온홀","334","0","88","993","2018-1"
"와일드와일드 전용관","와일드와일드 전용관","294","0","0","0","2018-1"
"북촌창우극장","북촌창우극장","100","1","1","2","2018-1"
"강남아트홀","1관","150","1","6","22","2018-1"
"강남아트홀","2관","120","1","7","17","2018-1"
"소극장 혜화당(구. 까망소극장)","소극장 혜화당(구. 까망소극장)","105","2","75","220","2018-1"
"여우별씨어터(구. 내여페 The Stage) (폐관)","여우별씨어터(구. 내여페 The Stage) (폐관)","170","0","1","4","2018-1"
"동양예술극장(구. 아트센터K)","1관(네모극장)","221","0","80","7893","2018-1"
"동양예술극장(구. 아트센터K)","3관(세모극장)","162","1","51","3236","2018-1"
